key.id,value.name,value.course_id,value.integration_id,value.created_at,value.updated_at,value.workflow_state,value.sis_batch_id,value.start_at,value.end_at,value.sis_source_id,value.default_section,value.accepting_enrollments,value.restrict_enrollments_to_section_dates,value.nonxlist_course_id,value.enrollment_term_id,meta.ts
16446,ESTRATEGIA DE NEGOCIOS I - 002,8048,,2022-12-15T23:05:25.219Z,2022-12-15T23:05:25.219Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
6483,GEOMETRIA VECTORIAL - 003,3477,,2021-05-22T21:02:18.975Z,2021-05-22T21:02:18.975Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
8922,GEOMETRIA ANALITICA (GEOMETRIA ANALITICA I) - 003,4660,,2021-07-22T22:04:17.385Z,2021-07-22T22:04:17.385Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
3477,HERRAMIENTAS COMPU. Y ALGORIT. - 004,2010,,2020-12-27T21:02:32.288Z,2021-01-08T11:01:34.760Z,deleted,1124,2021-01-01T06:00:00.000Z,2021-06-11T05:00:00.000Z,202101-COM-16301-004-T,,,true,,,2023-03-24T13:09:48.294Z
14664,ANALISIS MATEMATICO II - 001,7633,,2022-07-15T22:04:54.656Z,2022-07-15T22:04:54.656Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
16897,ECONOMIA II - 005,8543,,2022-12-15T23:05:38.338Z,2022-12-15T23:05:38.338Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
3026,MERCADOTECNIA II - 003,1532,,2020-08-08T11:01:23.750Z,2020-08-08T11:01:23.750Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
13160,"PROCESOS ESTOCASTICOS,I - 002",7317,,2022-07-15T22:03:23.361Z,2022-07-15T22:03:23.361Z,active,12463,2022-08-01T05:00:00.000Z,2023-01-11T06:00:00.000Z,202203-EST-14107-002-T,,,true,,,2023-11-27T00:40:42.846Z
11045,DERECHO FISCAL I - 003,5418,,2022-01-08T11:31:55.327Z,2022-01-08T11:31:55.327Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
5141,HISTORIA SOCIO-POLITICA DE MEXICO - 010,2607,,2020-12-27T21:03:29.210Z,2020-12-27T21:03:29.210Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
191,FAMILIA Y SUCESIONES - 004,102,,2020-07-30T19:03:01.612Z,2021-12-31T23:02:21.541Z,deleted,4880,2020-08-01T05:00:00.000Z,2021-01-11T06:00:00.000Z,202003-DER-13614-004-T,,,true,,,2023-03-24T13:09:48.294Z
13935,DERECHO EMPRESARIAL II - 001,6899,,2022-07-15T22:04:15.095Z,2022-07-15T22:04:15.095Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
5097,PROBLEMAS DE LA CIVILIZACION CONTEMPORANEA I - 001,2557,,2020-12-27T21:03:26.760Z,2020-12-27T21:03:26.760Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
16941,ECONOMIA INTERNACIONAL I - 002,8585,,2022-12-15T23:05:39.466Z,2022-12-15T23:05:39.466Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
1695,CONTABILIDAD INTERMEDIA I - 003,106,,2020-07-30T19:07:18.471Z,2020-07-30T19:07:18.471Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
2135,PROBABILIDAD - 002,846,,2020-07-30T19:09:07.512Z,2020-07-30T19:09:07.512Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
8878,GEOMETRIA VECTORIAL - 003,4699,,2021-07-22T22:04:15.699Z,2021-07-22T22:04:15.699Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
13773,FINANZAS CORPORATIVAS AVANZADAS - 002,6725,,2022-07-15T22:04:07.443Z,2022-07-15T22:04:07.443Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
1406,SISTEMAS DE SEGUROS - 001,90,,2020-07-30T19:04:41.404Z,2020-07-30T19:04:41.404Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
